Sequence,Start (s),End (s),Speaker,Confidence,Text,Has Threat,Has Entity
0,30.0,32.54,Speaker_00,0.9,khushun Genya is 아주łby .,False,False
1,32.7,34.46,Speaker_01,0.9,одuppwel oточ google design,False,False
2,34.66,37.24,Speaker_00,0.9,medire and custom category,False,False
3,50.54,52.02,Speaker_01,0.9,tur socio rank,False,False
4,52.02,54.82,Speaker_00,0.9,Saeep Bakriye boss once and then saeいSami.,False,False
5,54.82,75.02,Speaker_01,0.9,Ricky Zriedhryή ji bidhru baad ka madro Khudka fabrik ji jom ki banwar ne howhi,False,False
6,76.72,80.52,Speaker_00,0.9,説 taadt batter maite kay sabotta besides,False,False
7,80.52,84.64,Speaker_01,0.9,н kayown háure diz hasho two arc ko tayiao stones,False,False
8,84.64,87.12,Speaker_00,0.9,.,False,False
9,87.12,90.16,Speaker_01,0.9,l frame we deserve to do,False,False
10,90.16,102.8,Speaker_00,0.9,ширoonWA garamあ allocate,False,False
11,102.8,106.0,Speaker_01,0.9,pr known,False,False
12,106.0,118.38,Speaker_00,0.9,A Pak увелич了..,False,False
13,118.38,119.84,Speaker_01,0.9,ena plants up à 5-5 inchandır свой duni,False,True
14,119.84,123.96,Speaker_00,0.9,bashe katum,False,False
15,123.96,128.58,Speaker_01,0.9,almashe harmanik ridge,True,False
16,130.58,132.92,Speaker_00,0.9,astralarim water is writes,False,False
17,135.24,135.86,Speaker_01,0.9,Again,False,False
18,137.48,140.9,Speaker_00,0.9,ich sometimes,False,False
19,140.9,160.18,Speaker_01,0.9,"كان forcks with mask, mechanism fi",False,False
20,160.18,169.7,Speaker_00,0.9,Virtually we have come to one of the things where I wish to go to secular culture so such will be auspicious to go by viens poder trad gel,False,False
21,169.98,173.66,Speaker_01,0.9,–Sonar is in mind that we are regarding the language issues,False,False
22,176.14,179.7,Speaker_00,0.9,"Now, now, what are you rider?",False,False
23,179.7,182.62,Speaker_01,0.9,We will have the account of Plut Hood,False,False
24,183.62,186.32,Speaker_00,0.9,"So, we will meet you",False,False
25,186.32,206.04,Speaker_01,0.9,Water is survived as seen in vast rainfall these days is also available as well.,False,False
26,206.04,208.04,Speaker_00,0.9,Kalkanthi kiya wo hai.,False,False
27,208.04,210.04,Speaker_01,0.9,I am speaking about Suraj.,False,False
28,210.04,212.04,Speaker_00,0.9,I am talking about Suraj.,False,False
29,212.04,214.04,Speaker_01,0.9,Suraj is a new media.,False,False
30,214.04,216.04,Speaker_00,0.9,"Bomb media, appanam kiya wo hai.",True,False
31,216.04,218.04,Speaker_01,0.9,Suraj.,False,False
32,218.04,220.04,Speaker_00,0.9,Suraj.,False,False
33,220.04,222.04,Speaker_01,0.9,Suraj.,False,False
34,222.04,228.04,Speaker_00,0.9,And there is a 4 example in that this meter ki liye.,False,True
35,228.04,230.04,Speaker_01,0.9,Not a meter.,False,False
36,230.04,232.04,Speaker_00,0.9,I am going to buy 10 kPa.,False,True
37,232.04,234.04,Speaker_01,0.9,I am going to buy black colour.,False,False
38,234.04,236.04,Speaker_00,0.9,I am going to buy a black colour.,False,False
39,236.04,238.04,Speaker_01,0.9,I am going to buy a black colour.,False,False
40,238.04,240.04,Speaker_00,0.9,"So, let us open it.",False,False
41,240.04,242.04,Speaker_01,0.9,Okay.,False,False
42,242.04,244.04,Speaker_00,0.9,Greetings.,False,False
43,244.04,248.04,Speaker_01,0.9,"Now, we are talking about a small light.",False,False
44,248.04,250.04,Speaker_00,0.9,We are talking about a small light.,False,False
45,250.04,252.04,Speaker_01,0.9,We are talking about a small light.,False,False
46,252.04,254.04,Speaker_00,0.9,"If you are talking about a small light,",False,False
47,254.04,256.04,Speaker_01,0.9,then you can use your fingers as a mirror.,False,False
48,256.04,258.04,Speaker_00,0.9,"And if you are talking about a small light,",False,False
49,258.04,262.04,Speaker_01,0.9,then you can use a 10-per-meter.,False,True
50,262.04,264.04,Speaker_00,0.9,"Like, if you are talking about your name,",False,False
51,264.04,268.04,Speaker_01,0.9,then I am talking about the entire details and catalog.,False,False
52,268.04,270.04,Speaker_00,0.9,What is the name of this?,False,False
53,270.04,272.04,Speaker_01,0.9,Okay.,False,False
54,272.04,274.04,Speaker_00,0.9,Okay.,False,False
55,274.04,276.04,Speaker_01,0.9,And there is a list.,False,False
56,276.04,278.04,Speaker_00,0.9,"Now, what is the name of Shabnam?",False,False
57,278.04,280.04,Speaker_01,0.9,And what is your source?,False,False
58,280.04,282.04,Speaker_00,0.9,Suraj is a Shabnam.,False,False
59,282.04,284.04,Speaker_01,0.9,And there is a download.,False,False
60,284.04,286.04,Speaker_00,0.9,"Very, there is no name.",False,False
61,286.04,288.04,Speaker_01,0.9,You can't find your name.,False,False
62,288.04,290.04,Speaker_00,0.9,"And if you are not using the form,",False,False
63,290.04,292.04,Speaker_01,0.9,then you can't find any name.,False,False
64,292.04,294.04,Speaker_00,0.9,"I am saying, I am saying,",False,False
65,294.04,296.04,Speaker_01,0.9,"I am saying, I am a suraj.",False,False
66,296.04,298.04,Speaker_00,0.9,Let's wear out.,False,False
67,298.04,300.04,Speaker_01,0.9,"It means, you can't find a business.",False,False
68,300.04,302.04,Speaker_00,0.9,I am a suraj.,False,False
69,302.04,304.04,Speaker_01,0.9,"Very, I am a very, very big name.",False,False
70,304.04,305.04,Speaker_00,0.9,Whereops.,False,False
71,305.04,306.04,Speaker_01,0.9,"Indum, solid name.",False,False
72,306.04,308.04,Speaker_00,0.9,"Suraj, bye.",False,False
