Sequence,Start (s),End (s),Speaker,Confidence,Text,Has Threat,Has Entity
0,0.0,1.0,Speaker_00,0.9,Hello.,False,False
1,1.0,2.0,Speaker_01,0.9,What are you saying?,False,False
2,2.0,3.0,Speaker_00,0.9,Tell me.,False,False
3,3.0,4.0,Speaker_01,0.9,Tell me.,False,False
4,4.0,5.0,Speaker_00,0.9,Tell me.,False,False
5,5.0,6.0,Speaker_01,0.9,Tell me.,False,False
6,6.0,7.0,Speaker_00,0.9,Namaste.,False,False
7,7.0,9.0,Speaker_01,0.9,Sangeeta saying.,False,False
8,9.0,10.0,Speaker_00,0.9,Vastanan Saris.,False,False
9,10.0,11.0,Speaker_01,0.9,Okay.,False,False
10,11.0,14.0,Speaker_00,0.9,What is this?,False,False
11,14.0,15.0,Speaker_01,0.9,You.,False,False
12,15.0,16.0,Speaker_00,0.9,You.,False,False
13,16.0,17.0,Speaker_01,0.9,Okay.,False,False
14,17.0,18.0,Speaker_00,0.9,You.,False,False
15,18.0,20.0,Speaker_01,0.9,You had come to my side at my side.,False,False
16,20.0,22.0,Speaker_00,0.9,Did anyone see?,False,False
17,22.0,25.0,Speaker_01,0.9,"Sir, you are looking for a book.",False,False
18,25.0,27.0,Speaker_00,0.9,Who is the writer?,False,False
19,27.0,28.0,Speaker_01,0.9,"I am the writer, what is it?",False,False
20,28.0,29.0,Speaker_00,0.9,Okay.,False,False
21,29.0,31.0,Speaker_01,0.9,I am the writer.,False,False
22,31.0,32.0,Speaker_00,0.9,I am the writer.,False,False
23,32.0,33.0,Speaker_01,0.9,I am the writer.,False,False
24,33.0,35.0,Speaker_00,0.9,I was talking about her about her.,False,False
25,35.0,44.0,Speaker_01,0.9,Who is the single actor?,False,False
26,44.0,46.0,Speaker_00,0.9,"Vastan, your dreams come true.",False,False
27,46.0,49.0,Speaker_01,0.9,She is a company.,False,False
28,49.0,50.0,Speaker_00,0.9,Hello.,False,False
29,50.0,51.0,Speaker_01,0.9,Vastan and Saris.,False,False
30,51.0,53.0,Speaker_00,0.9,Vastan and Saris.,False,False
31,53.0,54.0,Speaker_01,0.9,Okay.,False,False
32,54.0,55.0,Speaker_00,0.9,Okay.,False,False
33,55.0,57.0,Speaker_01,0.9,"Now, if you don't look, you will be very good.",False,False
34,57.0,58.0,Speaker_00,0.9,Okay.,False,False
35,58.0,59.0,Speaker_01,0.9,Okay.,False,False
36,59.0,61.0,Speaker_00,0.9,Check out Rahevi.,False,False
37,61.0,63.0,Speaker_01,0.9,Any problem?,False,False
38,63.0,64.0,Speaker_00,0.9,No.,False,False
39,64.0,66.0,Speaker_01,0.9,Any problem in a movie?,False,False
40,66.0,67.0,Speaker_00,0.9,Okay.,False,False
41,67.0,68.0,Speaker_01,0.9,"Oh, look.",False,False
42,68.0,69.0,Speaker_00,0.9,"Hey, look.",False,False
43,69.0,70.0,Speaker_01,0.9,"Hey, look.",False,False
44,70.0,71.0,Speaker_00,0.9,Look.,False,False
45,71.0,72.0,Speaker_01,0.9,Okay.,False,False
46,72.0,73.0,Speaker_00,0.9,Look.,False,False
47,73.0,74.0,Speaker_01,0.9,No.,False,False
48,74.0,75.0,Speaker_00,0.9,No.,False,False
49,75.0,76.0,Speaker_01,0.9,No.,False,False
50,76.0,77.0,Speaker_00,0.9,Okay.,False,False
51,77.0,78.0,Speaker_01,0.9,Okay.,False,False
52,78.0,80.0,Speaker_00,0.9,"Samaj Gaye, any confusion, thaji?",False,False
53,80.0,82.0,Speaker_01,0.9,"Price, size, design.",False,False
54,82.0,83.0,Speaker_00,0.9,No.,False,False
55,83.0,84.0,Speaker_01,0.9,No.,False,False
56,84.0,85.0,Speaker_00,0.9,No.,False,False
57,85.0,86.0,Speaker_01,0.9,No.,False,False
58,86.0,87.0,Speaker_00,0.9,No.,False,False
59,87.0,88.0,Speaker_01,0.9,No.,False,False
60,88.0,89.0,Speaker_00,0.9,No.,False,False
61,89.0,90.0,Speaker_01,0.9,Okay.,False,False
62,90.0,92.0,Speaker_00,0.9,"Samaj Gaye, any technical issue?",False,False
63,92.0,93.0,Speaker_01,0.9,What?,False,False
64,93.0,94.0,Speaker_00,0.9,A technical issue?,False,False
65,94.0,95.0,Speaker_01,0.9,A technical issue?,False,False
66,95.0,96.0,Speaker_00,0.9,No.,False,False
67,96.0,97.0,Speaker_01,0.9,No.,False,False
68,97.0,98.0,Speaker_00,0.9,No.,False,False
69,98.0,99.0,Speaker_01,0.9,No.,False,False
70,99.0,100.0,Speaker_00,0.9,No.,False,False
71,100.0,101.0,Speaker_01,0.9,A technical issue?,False,False
72,101.0,102.0,Speaker_00,0.9,No.,False,False
73,102.0,103.0,Speaker_01,0.9,No.,False,False
74,103.0,104.0,Speaker_00,0.9,I have been working on a technical issue.,False,False
75,104.0,105.0,Speaker_01,0.9,Okay.,False,False
76,105.0,106.0,Speaker_00,0.9,Okay.,False,False
77,106.0,107.0,Speaker_01,0.9,Okay.,False,False
