Sequence,Start (s),End (s),Speaker,Confidence,Text,Has Threat,Has Entity
0,0.0,1.0,Speaker_00,0.9,Hello.,False,False
1,1.0,2.0,Speaker_01,0.9,What are you saying?,False,False
2,2.0,3.0,Speaker_00,0.9,Tell me.,False,False
3,3.0,4.0,Speaker_01,0.9,Tell me.,False,False
4,4.0,5.0,Speaker_00,0.9,Tell me.,False,False
5,5.0,6.0,Speaker_01,0.9,Tell me.,False,False
6,6.0,7.0,Speaker_00,0.9,Namaste.,False,False
7,7.0,9.0,Speaker_01,0.9,Sangeeta saying.,False,False
8,9.0,10.0,Speaker_00,0.9,Vastanan Saris.,False,False
9,10.0,11.0,Speaker_01,0.9,Okay.,False,False
10,11.0,14.0,Speaker_00,0.9,What is this?,False,False
11,14.0,15.0,Speaker_01,0.9,You.,False,False
12,15.0,16.0,Speaker_00,0.9,You.,False,False
13,16.0,17.0,Speaker_01,0.9,Okay.,False,False
14,17.0,18.0,Speaker_00,0.9,You.,False,False
15,18.0,20.0,Speaker_01,0.9,You had come to my side at my side.,False,False
16,20.0,22.0,Speaker_00,0.9,Did anyone see?,False,False
17,22.0,25.0,Speaker_01,0.9,"Sir, you are looking for a book.",False,False
18,25.0,27.0,Speaker_00,0.9,Who is the writer?,False,False
19,27.0,28.0,Speaker_01,0.9,"Sir, I am Sir Pato.",False,False
20,28.0,29.0,Speaker_00,0.9,Okay.,False,False
21,29.0,30.0,Speaker_01,0.9,I am Suresh Pato.,False,False
22,30.0,31.0,Speaker_00,0.9,Who is he?,False,False
23,31.0,33.0,Speaker_01,0.9,I am talking about his wife.,False,False
24,33.0,34.0,Speaker_00,0.9,Who is he?,False,False
25,34.0,35.0,Speaker_01,0.9,Pinky.,False,False
26,35.0,36.0,Speaker_00,0.9,I am talking about his wife.,False,False
27,36.0,38.0,Speaker_01,0.9,Who is he?,False,False
28,38.0,39.0,Speaker_00,0.9,Pinky.,False,False
29,39.0,40.0,Speaker_01,0.9,Sorry.,False,False
30,40.0,46.0,Speaker_00,0.9,"Vastan, your dream is to come to a company.",False,False
31,46.0,47.0,Speaker_01,0.9,Is it?,False,False
32,47.0,48.0,Speaker_00,0.9,Yes.,False,False
33,48.0,50.0,Speaker_01,0.9,Vastan and Saris.,False,False
34,50.0,51.0,Speaker_00,0.9,Vastan and Saris.,False,False
35,51.0,52.0,Speaker_01,0.9,Vastan and Saris.,False,False
36,52.0,53.0,Speaker_00,0.9,Okay.,False,False
37,53.0,55.0,Speaker_01,0.9,You have not come to my side.,False,False
38,55.0,57.0,Speaker_00,0.9,You have not come to my side.,False,False
39,57.0,58.0,Speaker_01,0.9,I am talking about my wife.,False,False
40,58.0,59.0,Speaker_00,0.9,Yes.,False,False
41,59.0,61.0,Speaker_01,0.9,Check out my wife.,False,False
42,61.0,62.0,Speaker_00,0.9,Any problem?,False,False
43,62.0,63.0,Speaker_01,0.9,No.,False,False
44,63.0,65.0,Speaker_00,0.9,Any problem?,False,False
45,65.0,66.0,Speaker_01,0.9,Any problem?,False,False
46,66.0,67.0,Speaker_00,0.9,Okay.,False,False
47,67.0,69.0,Speaker_01,0.9,You have not come to my side.,False,False
48,69.0,71.0,Speaker_00,0.9,You have not come to my side.,False,False
49,71.0,72.0,Speaker_01,0.9,Okay.,False,False
50,72.0,73.0,Speaker_00,0.9,You have not come to my side.,False,False
51,73.0,74.0,Speaker_01,0.9,No.,False,False
52,74.0,75.0,Speaker_00,0.9,No.,False,False
53,75.0,76.0,Speaker_01,0.9,No.,False,False
54,76.0,77.0,Speaker_00,0.9,No.,False,False
55,77.0,78.0,Speaker_01,0.9,Okay.,False,False
56,78.0,79.0,Speaker_00,0.9,Samaj Gaye.,False,False
57,79.0,80.0,Speaker_01,0.9,Any confusion?,False,False
58,80.0,81.0,Speaker_00,0.9,Price?,False,False
59,81.0,82.0,Speaker_01,0.9,Size?,False,False
60,82.0,83.0,Speaker_00,0.9,Design?,False,False
61,84.0,85.0,Speaker_01,0.9,No.,False,False
62,85.0,87.0,Speaker_00,0.9,I have not come to my side.,False,False
63,87.0,89.0,Speaker_01,0.9,But I have not come to my side.,False,False
64,89.0,90.0,Speaker_00,0.9,Okay.,False,False
65,90.0,91.0,Speaker_01,0.9,Samaj Gaye.,False,False
66,91.0,93.0,Speaker_00,0.9,Any technical issue?,False,False
67,93.0,95.0,Speaker_01,0.9,Any technical issue?,False,False
68,95.0,97.0,Speaker_00,0.9,Any technical issue?,False,False
69,97.0,99.0,Speaker_01,0.9,I have come to my side.,False,False
70,99.0,100.0,Speaker_00,0.9,Okay.,False,False
71,100.0,101.0,Speaker_01,0.9,Technical issue?,False,False
72,101.0,102.0,Speaker_00,0.9,Any problem?,False,False
73,102.0,103.0,Speaker_01,0.9,Yes.,False,False
74,103.0,104.0,Speaker_00,0.9,I have been working on the order.,False,False
75,104.0,106.0,Speaker_01,0.9,Okay.,False,False
