Sequence,Start (s),End (s),Speaker,Confidence,Text,Has Threat,Has Entity
0,30.0,48.36,Speaker_00,0.9,所以 futvesh n u novelaerin,False,False
1,48.36,52.14,Speaker_01,0.9,autna high quality girl middle time he had a totally highly�ed person.,False,False
2,52.14,59.22,Speaker_00,0.9,"Bring saeger capsre duing Baba,",False,False
3,59.94,65.54,Speaker_01,0.9,ures Sum встреч Supreme所 klvndan пр scriptures.,False,False
4,66.84,72.22,Speaker_00,0.9,2018 Jagann Mataela Vid deserveanyat,False,True
5,72.22,72.78,Speaker_01,0.9,"alu,",False,False
6,73.4,77.6,Speaker_00,0.9,tabaji Masia alli vandpangu,False,False
7,77.88,78.24,Speaker_01,0.9,e protok bajwara pe loli,False,False
8,78.24,101.82,Speaker_00,0.9,誹 juad ład,False,False
9,101.82,106.22,Speaker_01,0.9,Jas toash mart-rare & Khlov Gir champion,False,False
10,106.22,108.06,Speaker_00,0.9,Sa youda feast,False,False
11,108.06,123.18,Speaker_01,0.9,Sat Il fan,False,False
12,123.18,127.7,Speaker_00,0.9,uralyoo..,False,False
13,127.7,148.18,Speaker_01,0.9,klmerish kayas,False,False
14,148.18,156.42,Speaker_00,0.9,You can change this painting to 3 andو2.,False,True
15,157.06,160.56,Speaker_01,0.9,I am getting 30聞 of the painting.,False,True
16,160.56,164.9,Speaker_00,0.9,I am not going to draw a negative creating effect on your painting.,False,False
17,164.9,172.04,Speaker_01,0.9,såring bhoji,False,False
18,172.04,174.84,Speaker_00,0.9,surbud sm trabalho,False,False
19,174.84,188.86,Speaker_01,0.9,Aama kaali kaLA,False,False
20,188.86,198.88,Speaker_00,0.9,You can't complain about yourarch karate dances.,False,False
21,198.88,200.4,Speaker_01,0.9,So eke get prak왔 preaches?,False,False
22,200.4,203.98,Speaker_00,0.9,"Yes, truth heat ni shwati-mot Vin's Making Have Sinsisel Up.",False,False
23,203.98,207.66,Speaker_01,0.9,Keke… молниashi fee ye Shah o beimceqan ke lagi.,False,False
24,207.66,213.34,Speaker_00,0.9,Me surat Te Phi Bhaskaar willingness to offer us Kanh jahtari meuise regularly.,False,False
25,213.34,214.18,Speaker_01,0.9,Long nghe Gehme Dadi Obhina.,False,False
26,244.18,260.0,Speaker_00,0.9,데,False,False
27,260.0,260.5,Speaker_01,0.9,造pe meter ataspa Aur Swami Kodera,False,False
28,262.24,266.44,Speaker_00,0.9,伟se hala....,False,False
29,267.0,269.66,Speaker_01,0.9,Do you remember that yes sir..,False,False
30,271.24,272.18,Speaker_00,0.9,ka...,False,False
31,274.48,276.02,Speaker_01,0.9,And there is.,False,False
32,276.44,277.9,Speaker_00,0.9,Your Bhupna very good,False,False
33,278.1,279.7,Speaker_01,0.9,What will your Swats see ?,False,False
34,280.18,282.7,Speaker_00,0.9,Durjubhishi самое Alabama,False,False
35,285.9,286.8,Speaker_01,0.9,"Sorry, you are not aware.",False,False
36,287.52,288.36,Speaker_00,0.9,Nam Cat fini vi,False,False
37,289.14,289.56,Speaker_01,0.9,And if there is square,False,False
38,289.56,292.34,Speaker_00,0.9,there is no need or any sin in your name,False,False
39,292.34,293.88,Speaker_01,0.9,I will take his name,False,False
40,293.88,295.54,Speaker_00,0.9,What I am doing is for sure,False,False
41,295.54,300.1,Speaker_01,0.9,this is the veut,False,False
42,300.14,303.32,Speaker_00,0.9,I am doing very well,False,False
43,303.32,307.56,Speaker_01,0.9,they are very famous,False,False
