Sequence,Start (s),End (s),Speaker,Confidence,Text,Has Threat,Has Entity
0,150.0,154.0,Speaker_00,0.9,",",False,False
1,154.0,158.0,Speaker_01,0.9,",",False,False
2,158.0,162.0,Speaker_00,0.9,",",False,False
3,162.0,164.0,Speaker_01,0.9,",",False,False
4,164.0,168.0,Speaker_00,0.9,",",False,False
5,168.0,172.0,Speaker_01,0.9,",",False,False
6,172.0,174.0,Speaker_00,0.9,",",False,False
7,174.0,177.0,Speaker_01,0.9,",",False,False
8,177.0,179.0,Speaker_00,0.9,",",False,False
9,179.0,181.0,Speaker_01,0.9,",",False,False
10,181.0,183.0,Speaker_00,0.9,",",False,False
11,183.0,185.0,Speaker_01,0.9,",",False,False
12,185.0,187.0,Speaker_00,0.9,",",False,False
13,187.0,189.0,Speaker_01,0.9,",",False,False
14,189.0,191.0,Speaker_00,0.9,",",False,False
15,191.0,193.0,Speaker_01,0.9,",",False,False
16,193.0,195.0,Speaker_00,0.9,",",False,False
17,195.0,197.0,Speaker_01,0.9,",",False,False
18,197.0,199.0,Speaker_00,0.9,",",False,False
19,199.0,201.0,Speaker_01,0.9,",",False,False
20,201.0,203.0,Speaker_00,0.9,",",False,False
21,203.0,205.0,Speaker_01,0.9,",",False,False
22,205.0,207.0,Speaker_00,0.9,",",False,False
23,207.0,209.0,Speaker_01,0.9,",",False,False
24,209.0,211.0,Speaker_00,0.9,",",False,False
25,211.0,213.0,Speaker_01,0.9,",",False,False
26,213.0,215.0,Speaker_00,0.9,",",False,False
27,215.0,217.0,Speaker_01,0.9,",",False,False
28,217.0,219.0,Speaker_00,0.9,",",False,False
29,219.0,221.0,Speaker_01,0.9,",",False,False
30,221.0,223.0,Speaker_00,0.9,",",False,False
31,223.0,225.0,Speaker_01,0.9,",",False,False
32,225.0,227.0,Speaker_00,0.9,",",False,False
33,227.0,229.0,Speaker_01,0.9,",",False,False
34,229.0,231.0,Speaker_00,0.9,",",False,False
35,231.0,233.0,Speaker_01,0.9,",",False,False
36,233.0,235.0,Speaker_00,0.9,",",False,False
37,235.0,237.0,Speaker_01,0.9,",",False,False
38,237.0,239.0,Speaker_00,0.9,",",False,False
39,239.0,241.0,Speaker_01,0.9,",",False,False
40,241.0,243.0,Speaker_00,0.9,",",False,False
41,243.0,245.0,Speaker_01,0.9,",",False,False
42,245.0,247.0,Speaker_00,0.9,",",False,False
43,247.0,249.0,Speaker_01,0.9,",",False,False
44,249.0,251.0,Speaker_00,0.9,",",False,False
45,251.0,253.0,Speaker_01,0.9,",",False,False
46,253.0,255.0,Speaker_00,0.9,",",False,False
47,255.0,257.0,Speaker_01,0.9,",",False,False
48,257.0,259.0,Speaker_00,0.9,",",False,False
49,259.0,261.0,Speaker_01,0.9,",",False,False
50,261.0,263.0,Speaker_00,0.9,",",False,False
51,263.0,265.0,Speaker_01,0.9,",",False,False
52,265.0,267.0,Speaker_00,0.9,",",False,False
53,267.0,269.0,Speaker_01,0.9,",",False,False
54,269.0,271.0,Speaker_00,0.9,",",False,False
55,271.0,273.0,Speaker_01,0.9,",",False,False
56,275.0,277.0,Speaker_00,0.9,",",False,False
57,277.0,279.0,Speaker_01,0.9,",",False,False
58,279.0,281.0,Speaker_00,0.9,",",False,False
59,281.0,283.0,Speaker_01,0.9,",",False,False
60,283.0,285.0,Speaker_00,0.9,",",False,False
61,285.0,287.0,Speaker_01,0.9,",",False,False
62,287.0,289.0,Speaker_00,0.9,",",False,False
63,289.0,291.0,Speaker_01,0.9,",",False,False
