Sequence,Start (s),End (s),Speaker,Confidence,Text,Has Threat,Has Entity
0,0.0,1.0,Speaker_00,0.9,Hello.,False,False
1,1.0,2.0,Speaker_01,0.9,What are you saying?,False,False
2,2.0,3.0,Speaker_00,0.9,Tell me.,False,False
3,3.0,4.0,Speaker_01,0.9,Tell me.,False,False
4,4.0,5.0,Speaker_00,0.9,Tell me.,False,False
5,5.0,6.0,Speaker_01,0.9,Tell me.,False,False
6,6.0,7.0,Speaker_00,0.9,Namaste.,False,False
7,7.0,9.0,Speaker_01,0.9,Sangeeta saying.,False,False
8,9.0,10.0,Speaker_00,0.9,Vastanan Saris.,False,False
9,10.0,11.0,Speaker_01,0.9,Okay.,False,False
10,11.0,14.0,Speaker_00,0.9,What is this?,False,False
11,14.0,15.0,Speaker_01,0.9,You.,False,False
12,15.0,16.0,Speaker_00,0.9,You.,False,False
13,16.0,17.0,Speaker_01,0.9,Okay.,False,False
14,17.0,18.0,Speaker_00,0.9,You.,False,False
15,18.0,20.0,Speaker_01,0.9,You had come to my side at my side.,False,False
16,20.0,22.0,Speaker_00,0.9,Did anyone see?,False,False
17,22.0,25.0,Speaker_01,0.9,"Sir, you are looking for a book.",False,False
18,25.0,27.0,Speaker_00,0.9,Who is the writer?,False,False
19,28.0,29.0,Speaker_01,0.9,A doctor is trouble?,False,False
20,29.0,30.0,Speaker_00,0.9,Very good.,False,False
21,30.0,35.0,Speaker_01,0.9,I got such an example from myself that you called Pee Satanj.,False,False
22,35.0,41.0,Speaker_00,0.9,You were talking about him.,False,False
23,41.0,45.0,Speaker_01,0.9,"Goong Jee, singa millionaire Lal.",False,False
24,45.0,46.0,Speaker_00,0.9,"Vastan, how do you feel?",False,False
25,46.0,47.0,Speaker_01,0.9,It should be deferred.,False,False
26,47.0,50.0,Speaker_00,0.9,Why did you take me here?,False,False
27,50.0,51.0,Speaker_01,0.9,Lolen ochat 걝 costly.,False,False
28,51.0,53.0,Speaker_00,0.9,Vastan and some of your 思ies?,False,False
29,53.0,55.0,Speaker_01,0.9,Vastan and Sareis.,False,False
30,55.0,57.0,Speaker_00,0.9,書y rainbow!!,False,False
31,61.18,63.18,Speaker_01,0.9,Did you take all these problems?,False,False
32,63.18,66.92,Speaker_00,0.9,no problem,False,False
33,67.94,70.66,Speaker_01,0.9,What kind of problem?,False,False
34,70.66,73.0,Speaker_00,0.9,Nothing,False,False
35,73.0,76.0,Speaker_01,0.9,a book,False,False
36,79.56,83.68,Speaker_00,0.9,check out,False,False
37,83.68,84.82,Speaker_01,0.9,"najmniej個nesday нуж了,二e toon",False,False
38,84.82,86.08,Speaker_00,0.9,Hoje 6-6年 Ay ko channo target,False,True
39,86.08,86.48,Speaker_01,0.9,main娘,False,False
40,86.48,88.04,Speaker_00,0.9,Alla żebyößi,False,False
41,89.16,90.6,Speaker_01,0.9,Ok,False,False
42,90.8,92.38,Speaker_00,0.9,Ind陽職s,False,False
43,93.68,94.82,Speaker_01,0.9,Some position to do,False,False
44,94.94,96.3,Speaker_00,0.9,You can say anything,False,False
45,96.3,97.66,Speaker_01,0.9,want to watch when you return,False,False
46,99.46,99.72,Speaker_00,0.9,Ok,False,False
47,100.24,101.28,Speaker_01,0.9,He has come to do,False,False
48,101.72,102.38,Speaker_00,0.9,Other side,False,False
49,102.4,103.06,Speaker_01,0.9,Eating,False,False
50,103.06,104.24,Speaker_00,0.9,I will place another order,False,False
51,105.6,105.96,Speaker_01,0.9,Ok madam,False,False
52,107.0,108.36,Speaker_00,0.9,I can play about the time,False,False
53,110.36,111.32,Speaker_01,0.9,first,False,False
54,111.44,112.36,Speaker_00,0.9,Why dont squeeze in the Oi,False,False
55,112.36,112.9,Speaker_01,0.9,3,False,True
56,112.9,113.04,Speaker_00,0.9,Confirm,False,False
57,113.04,119.04,Speaker_01,0.9,Okay. Okay madam.,False,False
58,119.04,121.04,Speaker_00,0.9,Thank you.,False,False
59,121.04,122.04,Speaker_01,0.9,See you.,False,False
60,122.04,124.04,Speaker_00,0.9,"So, book has been done.",False,False
61,124.04,126.04,Speaker_01,0.9,Book has been done.,False,False
62,126.04,129.04,Speaker_00,0.9,"Yes, it is a famous art.",False,False
63,129.04,131.04,Speaker_01,0.9,It is a famous art.,False,False
64,131.04,132.04,Speaker_00,0.9,"Oh, it is a famous art.",False,False
65,132.04,134.04,Speaker_01,0.9,It is a famous art.,False,False
66,134.04,136.04,Speaker_00,0.9,It is a famous art.,False,False
67,136.04,137.04,Speaker_01,0.9,It is a famous art.,False,False
68,137.04,139.04,Speaker_00,0.9,It is a famous art.,False,False
69,140.04,141.04,Speaker_01,0.9,Hello.,False,False
70,141.04,142.04,Speaker_00,0.9,Isn't it a famous art?,False,False
71,142.04,143.04,Speaker_01,0.9,A second Rukeji.,False,False
72,143.04,145.04,Speaker_00,0.9,I will check it.,False,False
73,145.04,147.04,Speaker_01,0.9,Please.,False,False
