Sequence,Start (s),End (s),Speaker,Confidence,Text,Has Threat,Has Entity
0,0.0,0.42,Speaker_00,0.9,आलो�ань मैं कि Maßnahmen Officer,False,False
1,5.92,7.1,Speaker_01,0.9,ऴोल ही मरहल,False,False
2,15.34,17.44,Speaker_00,0.9,आघ आस्थiggle,False,False
3,18.58,23.78,Speaker_01,0.9,आषुभि candle दुगकछ flute,False,False
4,26.34,29.4,Speaker_00,0.9,आस्ःー lấy जो सबीविए आदद आषीय कुदुऔ� है,False,False
5,29.4,31.4,Speaker_01,0.9,ก 프�ےauthorwer ?,False,False
6,31.4,33.4,Speaker_00,0.9,ApostleT.,False,False
7,37.42,39.4,Speaker_01,0.9,ฮ måste,False,False
8,46.74,55.74,Speaker_00,0.9,Kankai,False,False
9,119.4,123.7,Speaker_01,0.9,ama,False,False
10,123.7,132.04,Speaker_00,0.9,t,False,False
11,132.04,141.88,Speaker_01,0.9,m,False,False
12,141.88,144.88,Speaker_00,0.9,"1 sec. Rukia ji, I will check and tell you.",False,True
13,144.88,145.88,Speaker_01,0.9,Please madam.,False,False
14,146.88,147.88,Speaker_00,0.9,1 sec.,False,True
15,147.88,148.88,Speaker_01,0.9,Yeah.,False,False
16,153.88,155.88,Speaker_00,0.9,"Yes, it is not payment.",False,False
17,155.88,156.88,Speaker_01,0.9,No problem.,False,False
18,156.88,158.88,Speaker_00,0.9,You take the CUD.,False,False
19,158.88,159.88,Speaker_01,0.9,No tension.,False,False
20,159.88,160.88,Speaker_00,0.9,"So, order please.",False,False
21,160.88,161.88,Speaker_01,0.9,Okay.,False,False
22,161.88,162.88,Speaker_00,0.9,"Yes, please do it.",False,False
23,162.88,163.88,Speaker_01,0.9,You can do it.,False,False
24,163.88,164.88,Speaker_00,0.9,You can do it.,False,False
25,164.88,166.88,Speaker_01,0.9,Okay madam.,False,False
26,166.88,167.88,Speaker_00,0.9,Do it.,False,False
27,167.88,168.88,Speaker_01,0.9,Okay.,False,False
28,168.88,169.88,Speaker_00,0.9,Okay.,False,False
29,169.88,170.88,Speaker_01,0.9,Okay madam.,False,False
30,170.88,171.88,Speaker_00,0.9,Okay madam.,False,False
31,171.88,172.88,Speaker_01,0.9,Okay madam.,False,False
32,172.88,173.88,Speaker_00,0.9,You can do it.,False,False
33,173.88,174.88,Speaker_01,0.9,Thank you.,False,False
34,174.88,175.88,Speaker_00,0.9,Okay.,False,False
35,175.88,176.88,Speaker_01,0.9,Thank you.,False,False
36,176.88,177.88,Speaker_00,0.9,Thank you.,False,False
37,177.88,178.88,Speaker_01,0.9,Okay.,False,False
38,178.88,179.88,Speaker_00,0.9,Bangalore Vala address.,False,False
39,179.88,181.88,Speaker_01,0.9,"Number 17, Anapuraneshwari Nagar.",False,True
40,181.88,184.88,Speaker_00,0.9,"First main first cross, Mudla Palya Nagar, Bavirod Bangalore Pincode.",False,True
41,184.88,185.88,Speaker_01,0.9,56072.,False,True
42,185.88,186.88,Speaker_00,0.9,Yes madam.,False,False
43,186.88,187.88,Speaker_01,0.9,Yes madam.,False,False
44,187.88,188.88,Speaker_00,0.9,Okay madam.,False,False
45,188.88,189.88,Speaker_01,0.9,Okay.,False,False
46,189.88,190.88,Speaker_00,0.9,Okay.,False,False
47,190.88,191.88,Speaker_01,0.9,"Oh, quality.",False,False
48,191.88,192.88,Speaker_00,0.9,Yes madam.,False,False
49,192.88,193.88,Speaker_01,0.9,You can do it.,False,False
50,193.88,195.88,Speaker_00,0.9,And how is the quality?,False,False
51,195.88,196.88,Speaker_01,0.9,Yes madam.,False,False
52,196.88,197.88,Speaker_00,0.9,Yes madam.,False,False
53,197.88,200.88,Speaker_01,0.9,"If you don't have the money, you can do the rhythm.",False,False
54,200.88,201.88,Speaker_00,0.9,Yes.,False,False
55,201.88,202.88,Speaker_01,0.9,Absolutely.,False,False
56,202.88,203.88,Speaker_00,0.9,Hello.,False,False
57,203.88,204.88,Speaker_01,0.9,Hello.,False,False
58,204.88,205.88,Speaker_00,0.9,Okay madam.,False,False
59,205.88,206.88,Speaker_01,0.9,Okay madam.,False,False
60,206.88,207.88,Speaker_00,0.9,Done.,False,False
61,207.88,208.88,Speaker_01,0.9,Do it.,False,False
62,208.88,209.88,Speaker_00,0.9,Yes.,False,False
63,209.88,210.88,Speaker_01,0.9,Yes.,False,False
64,210.88,213.88,Speaker_00,0.9,Total is 1250 rupees.,False,True
65,213.88,215.88,Speaker_01,0.9,95 rupees COD charge included.,False,True
66,215.88,217.88,Speaker_00,0.9,Okay madam.,False,False
67,217.88,218.88,Speaker_01,0.9,Okay.,False,False
68,218.88,219.88,Speaker_00,0.9,Do it.,False,False
69,219.88,221.88,Speaker_01,0.9,"So, you finish it.",True,False
70,221.88,222.88,Speaker_00,0.9,Okay madam.,False,False
71,222.88,223.88,Speaker_01,0.9,Okay madam.,False,False
72,223.88,224.88,Speaker_00,0.9,Yes madam.,False,False
73,224.88,226.88,Speaker_01,0.9,Thank you.,False,False
74,226.88,227.88,Speaker_00,0.9,Order please.,False,False
75,227.88,228.88,Speaker_01,0.9,Okay madam.,False,False
76,228.88,229.88,Speaker_00,0.9,Okay.,False,False
77,229.88,230.88,Speaker_01,0.9,Thank you madam.,False,False
